# ITALIANO	OROMO	OROMO-Ethiopic	AMARICO	AMARICO-Ethiopic	TIGRINO	TIGRINO-Ethiopic	FRANCESE	ARABO A.O - Egitto - Asia - Libia - Africa sett.
abbaiare	óuttu 		tciohà	ጮኸ	neqqewè	ነቂሁ	aboyer	nabach - mabach
vecchio notabile	akakajù		scemaghliè	ሽማግሌ	tallaqq		vieux notable	haguz saied
vedere	argu		ayè, ayà	አየ	reayè		voir	sâf, nâzar - sbah
vedetta	èga, argàà		zebegnà	ዘበኛ	hallawy		vedette	sahrân, talîha
vedovo	gursumet		bal-yematecebbèt	ባል የሞተባት	mebellèt		veuf	âziba, armal
velo	golgà, gufta		megaregià	መጋረጃ	metson		voile	satar, coreiscia, htâ
veloce	dàfi		fettàn, qeltaffà	ፈጣን፣ ቀልጣፋ	qqelttuf		véloce	sariê, kitîr yigri, harhhût
vena	edhà		yedèm - ser	የደም-ስር	gemmàt, sur		veine	hirq, enadam - herg
vendere	gurgùru		scettè	ሸጠ	scettè		vendre	baâ, bâh, bêah
vendetta	guma 		beqqèl, merà	በቀል	hinè, feddà		vengeance	târ, intiqâm
venerdì	gimata, arbi		arbì	አርቢ	arbì		vendredi	yom el gomâ, yumâa - zimha
vénti	digdàma		heya	ሀያ	esra		vingt	ascerin, hesrîn
vento	kilesa, bubbè		nefas	ነፋስ	nefàs		vent	rih, haua - rîhh
ventre	garà		hod	ሆድ	chersì		ventre	batn, batan
verde	gedà		qqettelawi	ቅጠላዊ (አረንጓዴ)	lemlum		vert	âkhadar - akhdur
verità	dugà		haqq, ewunèt	ሃቅ፣ እውነት	haqqì, unèt		vérité	hak, hachîca, sâhha, hâgg
verme	rammò		téul	ትል	hasekhà		ver	duda
vero	duga 		unèt, esrà	እውነት	khayà, unèt		vrai	achîd, sahîh - sahêh
versare	busu		qqeddà, afessesè	ቀዳ፣ አፈሰሰ	defè, cheskesè		verser	cabb, sabb
vertigine	àka kalùm		rasù - zur	ራሴ-ዞረ	mentseròr		vertige	dokha, dawahan, tshsîh
vespa	bombì, kannisa		tterb	ተረብ	eccòt		guèpe	zonbûr, dabur
vestiario	ufàta		bezù lebs	ብዙ ልብስ	balhit lebsì		vestiaire	hhidûm, kisua
vestire	affaciù		alebbesè	አለበሰ	chedenè		vêtir	âlbas, labbis, labas - ksä
vetta	gubbè		tciàf	ጫፍ	cciaf		sommet	tellat, aurwâ - helua
vettovaglie	galà, gàtu		sisay	ሲሳይ	senqqì		provision	zuwwade, taâm - mûna
via	dàndi  		menghèd	መንገድ	mengheddì		rue	tarîk, secca - mbahedê
viaggiare	kcarà adèmu		tennasa	ተጓዥ	tennasà		voyager	sâfar, sah, sâfer
viaggiatore	imàltu		haydègna	መንገደኛ	kadèyna		voyageur	gârib, sawwâh
viaggio	karani		gheseghèse	ግስጋሴ	mekhàd		voyage	siyâha, safra, makhtar
vicino	diò		cherb	ቅርብ	qqerebà, tteqhà		voisin	carib, gâr - zär
vigilante	denkukù		ttebbeqy	ጠባቂ	hallawy		vigilant	sahrân, muntabêh
villaggio	gandà		mendèr, ambà	መንደር፣ አምባ	ghettèr, qquscett		village	carîa, kafr - garia
vincere	dau		ascennefè	አሸነፈ	scennefè		vaincre	galab, entâssar
vino	tegge		wein - tteg	ወይን- ጠጅ	weini		vin 	nebid, nibit - srâb
viottola	dandì		sellac - menghèd	ስላች መንገድ	gual - mengheddì		sentier	atar, alâma, zurra
vipera	bofa		efugnìt	እፉኝት	afot		vipère	hâya, mossem - lafha, hânasc
visitatore	nama adèmu		derresat	እንግዳ	betsàt		visiteur	def, zäir
viso	bifa		fet 	ፈት	ghets		visage	uâgeh, uisc, uiss, käsem
vitello	giabbi		teggia	ጥጃ	meràkh		veau	êgel, higl - hazel
vittoria	moaciù		del	ድል	del, seherèt		victoire	entessâr, nasra - halba
viva! eja!	nagàa 		inor, ibèl		heyò		vivat	lililì, yâsa
viveri	gatu		sisay	ሲሳይ	senqy		vivres	taâm - kuskusî
vivo	kan giru		heyawu, newarì	ሕያው፣ ነዋሪ	heyawù		vif, vivant	hhayy - hhaij
voce	odù		demtt, qqal	ድምጽ፣ ቃል	deai, demetsì		voix	sôt, hhiss
voi	isini		ennantè	አናጢ	nessekhùm		vous	entom, entû - entum
volare	arredu		berrerè	በረረ	neferè		voler	thar, tar
volere	barbaciù		fèlleghe	ፈለገ	deleyè		vouloir	arâd, râd - bba
volpe	kabarò		qqeberò	ቀበሮ	wekharià		renard	tahlâb, taâlab
vòlta, soffitto	darersùma		ttarà	ጣራ	nahsì		voûte	qabwa, saqf - sgaf
vostra	kesàni		yersuò, yennantè	የእሶ፣ የእናንተ	natchen		votre, la vôtre	com, kum (suff. per ogni g. e n.)
vostro	kesàni		yersuò, yennantè	የእሶ፣ የእናንተ	natcùm		votre, la vôtre	com, kum (suff. per ogni g. e n.)
zaino	binnò wottàdera		coregiò, aggofadà	ኮሮጆ፣ አጉፋዳ	mahefedà		havresac	razmgiondii, garabandîye
zampa	kottì		egher	እግር	eghrì		patte	rêgl, rigl  
zanzara	bokè, titisa		yagòt	ያጎት	tenenià, ttanttù		cousin	duîba homma, namûsa, nemûs
zebra	harriè-dîda		yemiedà-aeyà	የሜዳ አህያ	adghi - berekhà		zèbre	hhosan buqah
zigomo	aò, bokò, malla		guntc	ጉንጭ	guntey, melteè		zygoma	sadg, khad
zitella	dubra, entalò		denghel 	ድንግል	dinghìl, guebez		fille	sitêta, hêzebä, beqr, balig
zoppicare	koku		ankassè	አንካሳ	hankasè		clocher	harag, rah âarag
zotico	dùda		mogn, zolà	ሞኝ፣ ዞላ	allài, denquerò		rustre	balîd, albah, habît
zucca	bokiè, abubbì		dubba	ዱባ	dubbà		courge	cherâa, cûsa, qarha
zucca per bere	kabè		dubba tarmus	ዱባ ተ	ancolas		gourde	cusa licâi môia
zucchero	sucora, dagmà		succar	ስኳር	scequàr		sucre	sukkar - sukkur
zuppa	nafetfet		sciorbà, muqq	ሾርባ፣ ሙቅ	sciurba		soupe	sciorba, sôrba
zuppiera	hurò, wocitti		wettsciorbà	ወጥሾርባ	sciahan sciurba		soupière	maa sciorba
